"SC_SReg","SC_Beg","SC_SReg2","SC_End","SC_SReg3","SC_Ori"
"01a","1","01a","250000","01a","1"
"01b","250001","01b","500000","01b","1"
"01c","500001","01c","750000","01c","1"
"01d","750001","01d","1000000","01d","1"
"01e","1000001","01e","1250000","01e","1"
"01f","1250001","01f","1500000","01f","1"
"01g","1500001","01g","1768582","01g","1"
"02a","1768583","02a","2000000","02a","1"
"02b","2000001","02b","2250000","02b","1"
"02c","2250001","02c","2504966","02c","1"
"03a","2504967","03a","2750000","03a","1"
"03b","2750001","03b","3000000","03b","1"
"03c","3000001","03c","3250000","03c","1"
"03d","3250001","03d","3500000","03d","1"
"03e","3500001","03e","3750000","03e","1"
"03f","3750001","03f","4000000","03f","1"
"03g","4000001","03g","4250000","03g","1"
"03h","4250001","03h","4500000","03h","1"
"03i","4500001","03i","4750000","03i","1"
"03j","4750001","03j","5000000","03j","1"
"03k","5000001","03k","5250000","03k","1"
"03l","5250001","03l","5500000","03l","1"
"03m","5500001","03m","5750000","03m","1"
"03n","5750001","03n","6000000","03n","1"
"03o","6000001","03o","6250000","03o","1"
"03p","6250001","03p","6500000","03p","1"
"03q","6500001","03q","6818602","03q","1"
"13a","6818603","13a","7000868","13a","1"
"07a","7000869","07a","7337188","07a","1"
"07b","7337189","07b","7587188","07b","1"
"07c","7587189","07c","7837188","07c","1"
"07d","7837189","07d","8087188","07d","1"
"07e","8087189","07e","8463362","07e","1"
"08a","8463363","08a","8837188","08a","1"
"08b","8837189","08b","9087188","08b","1"
"08c","9087189","08c","9337188","08c","1"
"08d","9337189","08d","9587188","08d","1"
"08e","9587189","08e","9837188","08e","1"
"08f","9837189","08f","10087188","08f","1"
"08g","10087189","08g","10337188","08g","1"
"08h","10337189","08h","10587188","08h","1"
"08i","10587189","08i","10837188","08i","1"
"08j","10837189","08j","11087188","08j","1"
"08k","11087189","08k","11337188","08k","1"
"08l","11337189","08l","11777513","08l","1"
"09a","11777514","09a","12087188","09a","1"
"09b","12087189","09b","12337188","09b","1"
"09c","12337189","09c","12669569","09c","1"
"05c","12669570","05c","13073733","05c","-1"
"05b","13073734","05b","13323733","05b","-1"
"05a","13323734","05a","13546510","05a","-1"
"04e","13546511","04e","13823733","04e","-1"
"04d","13823734","04d","14073733","04d","-1"
"04c","14073734","04c","14323733","04c","-1"
"04b","14323734","04b","14573733","04b","-1"
"04a","14573734","04a","14755131","04a","-1"
"12a","14755132","12a","15149498","12a","-1"
"11e","15149499","11e","15550945","11e","-1"
"11d","15550946","11d","15800945","11d","-1"
"11c","15800946","11c","16050945","11c","-1"
"11b","16050946","11b","16300945","11b","-1"
"11a","16300946","11a","16644594","11a","-1"
"10b","16644595","10b","17050945","10b","-1"
"10a","17050946","10a","17468564","10a","-1"
"06a","17468565","06a","17728080","06a","1"
"14a","17728081","14a","18000000","14a","1"
"14b","18000001","14b","18250000","14b","1"
"14c","18250001","14c","18500000","14c","1"
"14d","18500001","14d","18750000","14d","1"
"14e","18750001","14e","19000000","14e","1"
"14f","19000001","14f","19250000","14f","1"
"14g","19250001","14g","19500000","14g","1"
"14h","19500001","14h","19787792","14h","1"
